dpto_ccdgo,ipm_2018,ipm_2024
5,"15,3","10,9"
8,"21,1","9,5"
11,"4,1","5,4"
13,"31,9","15,6"
15,"16,5","6,9"
17,"13,8","9,2"
18,"26,9","13,9"
19,"27,7",14
20,"31,7","13,4"
23,"34,4","25,7"
25,"10,5","7,4"
27,"46,3","33,9"
41,18,"10,9"
44,"53,3","39,3"
47,"36,4","19,2"
50,"15,6","10,4"
52,"33,1","18,1"
54,"29,5","15,2"
63,"14,2","7,4"
66,"11,6","9,5"
68,"12,6","6,8"
70,"41,7","21,8"
73,"22,2","12,6"
76,"14,1","6,2"
81,"27,6","17,7"
85,19,"11,3"
86,"24,1","11,8"
88,"8,5",6
91,"35,4","15,6"
94,"60,6",49
95,"31,4","21,3"
97,"68,5","37,4"
99,"63,5","70,2"